session,variant,alignment,skipped_leading_rows,manual_jump_index,algorithm_jump_index,manual_contact_time_s,algorithm_contact_time_s,contact_error_s,manual_air_time_s,algorithm_air_time_s,air_error_s,algorithm_touch_start_s,algorithm_lift_s,algorithm_landing_s
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,1,1,0.330000000,0.198003900,-0.131996100,0.350000000,0.511008000,0.161008000,4.519910100,4.717914000,4.519910100
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,2,2,0.430000000,0.307045900,-0.122954100,0.330000000,0.442985100,0.112985100,5.160899100,5.467945000,5.160899100
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,3,3,0.440000000,0.292832600,-0.147167400,0.370000000,0.510088200,0.140088200,5.978033200,6.270865800,5.978033200
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,4,4,0.440000000,0.299055900,-0.140944100,0.370000000,0.512996500,0.142996500,6.783862300,7.082918200,6.783862300
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,5,5,0.420000000,0.267449900,-0.152550100,0.390000000,0.531008300,0.141008300,7.613926500,7.881376400,7.613926500
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,6,6,0.370000000,0.219010500,-0.150989500,0.360000000,0.534515400,0.174515400,8.415891800,8.634902300,8.415891800
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,7,7,0.340000000,0.133998200,-0.206001800,0.360000000,0.506992300,0.146992300,9.141894600,9.275892800,9.141894600
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,8,8,0.350000000,0.173953200,-0.176046800,0.340000000,0.522029300,0.182029300,9.797922100,9.971875300,9.797922100
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,9,9,0.360000000,0.239637200,-0.120362800,0.330000000,0.510076300,0.180076300,10.481951600,10.721588800,10.481951600
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0,10,10,0.700000000,,,0.410000000,0.544304900,0.134304900,,10.721588800,11.265893700
