session,variant,event_index,kind,time,confirm_time,first_confirm_frame_time,onset_time,boundary_time,associated_track_id,fallback_reason,ratio,centroid_cm,frame_index
20260624_2_10次纵跳,touch_associated,20,lift,8.396203100,8.397466500,8.396203100,,8.397466500,138,,0.000000000,,8282
20260624_2_10次纵跳,touch_associated,21,touch,8.742316000,8.771865700,8.770454600,,8.742316000,147,,0.125000000,44.200000000,8656
20260624_2_10次纵跳,touch_associated,22,lift,8.946885700,8.949313700,8.946885700,,8.949313700,147,,0.000000000,,8831
20260624_2_10次纵跳,lift_associated,1,touch,3.579391600,3.580291200,3.579391600,,3.150229500,46,,0.135416667,46.800000000,3466
20260624_2_10次纵跳,lift_associated,2,lift,3.591223300,3.591223300,3.590291100,,3.591223300,46,,0.000000000,,3477
20260624_2_10次纵跳,lift_associated,3,touch,3.601266800,3.603928200,3.601266800,,3.150229500,46,,0.125000000,44.200000000,3488
20260624_2_10次纵跳,lift_associated,4,lift,3.898420100,3.898420100,3.897436700,,3.898420100,46,,0.000000000,,3784
20260624_2_10次纵跳,lift_associated,5,touch,4.283347900,4.285526600,4.283347900,,4.246281000,64,,0.125000000,47.320000000,4170
20260624_2_10次纵跳,lift_associated,6,lift,4.468408000,4.468408000,4.467819900,,4.468408000,64,,0.000000000,,4354
20260624_2_10次纵跳,lift_associated,7,touch,4.817269500,4.818824800,4.817269500,,4.801243300,74,,0.125000000,29.640000000,4704
20260624_2_10次纵跳,lift_associated,8,lift,5.048871500,5.048871500,5.047475500,,5.048871500,74,,0.000000000,,4934
20260624_2_10次纵跳,lift_associated,9,touch,5.426790700,5.428009700,5.426790700,,5.370872900,83,,0.125000000,45.240000000,5313
20260624_2_10次纵跳,lift_associated,10,lift,5.598255800,5.598255800,5.597273100,,5.598255800,83,,0.000000000,,5484
20260624_2_10次纵跳,lift_associated,11,touch,6.003422400,6.004176000,6.003422400,,5.943911600,96,,0.125000000,45.240000000,5889
20260624_2_10次纵跳,lift_associated,12,lift,6.163636800,6.163636800,6.161267800,,6.163636800,96,,0.000000000,,6048
20260624_2_10次纵跳,lift_associated,13,touch,6.532321900,6.533477900,6.532321900,,6.511172800,102,,0.135416667,52.000000000,6419
20260624_2_10次纵跳,lift_associated,14,lift,6.728797500,6.728797500,6.727263800,,6.728797500,102,,0.000000000,,6614
