session,variant,pairing_mode,jump_index,touch_start_s,lift_s,landing_s,contact_time_s,air_time_s
20260624_2_10次纵跳,onset,raw_triplet,2,3.592221500,3.897436700,4.247383900,0.305215200,0.349947200
20260624_2_10次纵跳,onset,raw_triplet,3,4.247383900,4.467819900,4.801243300,0.220436000,0.333423400
20260624_2_10次纵跳,onset,raw_triplet,4,4.801243300,5.047475500,5.370872900,0.246232200,0.323397400
20260624_2_10次纵跳,onset,raw_triplet,5,5.370872900,5.597273100,5.943911600,0.226400200,0.346638500
20260624_2_10次纵跳,onset,raw_triplet,6,5.943911600,6.161267800,6.512194500,0.217356200,0.350926700
20260624_2_10次纵跳,onset,raw_triplet,7,6.512194500,6.727263800,7.077211100,0.215069300,0.349947300
20260624_2_10次纵跳,onset,raw_triplet,8,7.077211100,7.283470000,7.635269600,0.206258900,0.351799600
20260624_2_10次纵跳,onset,raw_triplet,9,7.635269600,7.852847600,8.204324700,0.217578000,0.351477100
20260624_2_10次纵跳,onset,raw_triplet,10,8.204324700,8.396203100,8.742316000,0.191878400,0.346112900
20260624_3_垂直方向10次纵跳,current,production_equivalent,1,4.519910100,4.717914000,4.519910100,0.198003900,0.511008000
20260624_3_垂直方向10次纵跳,current,production_equivalent,2,5.160899100,5.467945000,5.160899100,0.307045900,0.442985100
20260624_3_垂直方向10次纵跳,current,production_equivalent,3,5.978033200,6.270865800,5.978033200,0.292832600,0.510088200
20260624_3_垂直方向10次纵跳,current,production_equivalent,4,6.783862300,7.082918200,6.783862300,0.299055900,0.512996500
20260624_3_垂直方向10次纵跳,current,production_equivalent,5,7.613926500,7.881376400,7.613926500,0.267449900,0.531008300
20260624_3_垂直方向10次纵跳,current,production_equivalent,6,8.415891800,8.634902300,8.415891800,0.219010500,0.534515400
20260624_3_垂直方向10次纵跳,current,production_equivalent,7,9.141894600,9.275892800,9.141894600,0.133998200,0.506992300
20260624_3_垂直方向10次纵跳,current,production_equivalent,8,9.797922100,9.971875300,9.797922100,0.173953200,0.522029300
20260624_3_垂直方向10次纵跳,current,production_equivalent,9,10.481951600,10.721588800,10.481951600,0.239637200,0.510076300
